
2024/06/28 (00:49:47) | ===> btop++ v.1.3.2
2024/06/28 (00:49:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (11:31:10) | ===> btop++ v.1.3.2
2024/06/28 (11:31:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (12:36:12) | ===> btop++ v.1.3.2
2024/06/28 (12:36:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (20:42:40) | ===> btop++ v.1.3.2
2024/06/29 (20:42:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (20:49:30) | ===> btop++ v.1.3.2
2024/06/29 (20:49:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (22:16:22) | ===> btop++ v.1.3.2
2024/06/29 (22:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (23:54:11) | ===> btop++ v.1.3.2
2024/06/29 (23:54:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (00:02:26) | ===> btop++ v.1.3.2
2024/06/30 (00:02:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (01:29:14) | ===> btop++ v.1.3.2
2024/06/30 (01:29:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (01:30:26) | ===> btop++ v.1.3.2
2024/06/30 (01:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (21:16:44) | ===> btop++ v.1.3.2
2024/06/30 (21:16:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (00:39:23) | ===> btop++ v.1.3.2
2024/07/01 (00:39:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (00:46:00) | ===> btop++ v.1.3.2
2024/07/01 (00:46:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (15:59:06) | ===> btop++ v.1.3.2
2024/07/01 (15:59:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (18:22:07) | ===> btop++ v.1.3.2
2024/07/01 (18:22:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (18:23:57) | ===> btop++ v.1.3.2
2024/07/01 (18:23:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (09:55:45) | ===> btop++ v.1.3.2
2024/07/02 (09:55:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (09:58:52) | ===> btop++ v.1.3.2
2024/07/02 (09:58:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (10:08:26) | ===> btop++ v.1.3.2
2024/07/02 (10:08:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (12:38:54) | ===> btop++ v.1.3.2
2024/07/02 (12:38:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (15:44:17) | ===> btop++ v.1.3.2
2024/07/02 (15:44:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (15:46:47) | ===> btop++ v.1.3.2
2024/07/02 (15:46:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (18:22:56) | ===> btop++ v.1.3.2
2024/07/02 (18:22:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (18:25:27) | ===> btop++ v.1.3.2
2024/07/02 (18:25:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (10:47:34) | ===> btop++ v.1.3.2
2024/07/03 (10:47:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (10:50:54) | ===> btop++ v.1.3.2
2024/07/03 (10:50:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (12:04:20) | ===> btop++ v.1.3.2
2024/07/03 (12:04:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (12:04:28) | ===> btop++ v.1.3.2
2024/07/03 (12:04:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (19:15:51) | ===> btop++ v.1.3.2
2024/07/03 (19:15:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (19:29:33) | ===> btop++ v.1.3.2
